circuit_key,family_group,strategy,num_plaquettes,x,time,repetitions,source_size,source_depth,source_two_qubit,mean_pauli_weight,logical_size,logical_two_qubit,exact_equivalence_validated,native_size,native_depth,native_two_qubit,native_two_qubit_depth,native_duration_seconds,routing_two_qubit_overhead,routing_penalty_ratio,native_swap_gates,calibration_error_budget,compile_time_seconds,cost
N5_x1_t0.08_r2,x1_r2,basic,5,1.0,0.08,2,373,268,144,1.72,257,124,True,686,377,94,78,4.399795799999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.1020722859975649,99.58166722016027
N5_x1_t0.08_r2,x1_r2,teleport,5,1.0,0.08,2,373,268,144,1.72,356,144,True,705,421,104,90,5.344938599999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.28614930699404795,109.0957367921037
N5_x1_t0.08_r2,x1_r2,full_reduce,5,1.0,0.08,2,373,268,144,1.72,335,113,True,1389,734,199,176,9.168777599999989e-05,86,1.761061946902655,0,0.4472759886846529,0.3018534490111051,211.46551977369307
N5_x1_t0.08_r4,x1_r4,qiskit,5,1.0,0.08,4,745,536,288,1.72,745,288,True,1551,961,234,202,0.00011758873800000043,-54,0.8125,0,0.40293893754959303,0.00932545299292542,246.09877875099184
N5_x1_t0.08_r4,x1_r4,basic,5,1.0,0.08,4,745,536,288,1.72,509,248,True,1366,747,186,154,8.601678600000008e-05,-62,0.75,0,0.4053940829884529,0.17913489100465085,197.18788165976906
N5_x1_t0.08_r4,x1_r4,teleport,5,1.0,0.08,4,745,536,288,1.72,702,288,True,1339,800,200,174,0.00010242125400000029,-88,0.6944444444444444,0,0.32384903028451517,0.6855597520043375,209.9569806056903
N5_x1_t0.08_r4,x1_r4,full_reduce,5,1.0,0.08,4,745,536,288,1.72,606,198,True,2444,1269,385,326,0.00016424891999999904,187,1.9444444444444444,0,0.9172002759989871,0.6473912259971257,409.86400551997974
N5_x1_t0.16_r1,x1_r1,qiskit,5,1.0,0.16,1,187,134,72,1.72,187,72,True,408,245,60,52,3.074921999999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.00745620799716562,63.00628427316157
N5_x1_t0.16_r1,x1_r1,basic,5,1.0,0.16,1,187,134,72,1.72,131,62,True,352,193,48,40,2.2836695999999987e-05,-14,0.7741935483870968,0,0.09892800001779327,0.05418010299035814,50.77856000035586
N5_x1_t0.16_r1,x1_r1,teleport,5,1.0,0.16,1,187,134,72,1.72,183,72,True,380,224,56,48,2.897543999999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.1098069720028434,58.66511488531039
N5_x1_t0.16_r1,x1_r1,full_reduce,5,1.0,0.16,1,187,134,72,1.72,201,72,True,813,426,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.10648376800236292,117.6018312720172
N5_x1_t0.16_r2,x1_r2,qiskit,5,1.0,0.16,2,373,268,144,1.72,373,144,True,793,478,118,102,5.959123799999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.0129270219913451,124.03711576577167
N5_x1_t0.16_r2,x1_r2,basic,5,1.0,0.16,2,373,268,144,1.72,257,124,True,691,379,94,78,4.391981399999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.09622957000101451,99.58166722016027
N5_x1_t0.16_r2,x1_r2,teleport,5,1.0,0.16,2,373,268,144,1.72,356,144,True,704,421,104,90,5.351864999999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2567470540088834,109.0957367921037
N5_x1_t0.16_r2,x1_r2,full_reduce,5,1.0,0.16,2,373,268,144,1.72,335,113,True,1390,735,199,176,9.176769599999989e-05,86,1.761061946902655,0,0.4472759886846529,0.2950954330008244,211.46551977369307
N5_x1_t0.16_r4,x1_r4,qiskit,5,1.0,0.16,4,745,536,288,1.72,745,288,True,1552,945,234,202,0.00011725129800000041,-54,0.8125,0,0.40293893754959303,0.01006940299703274,246.09877875099184
N5_x1_t0.16_r4,x1_r4,basic,5,1.0,0.16,4,745,536,288,1.72,509,248,True,1350,745,186,154,8.613844200000008e-05,-62,0.75,0,0.4053940829884529,0.1775130000023637,197.18788165976906
N5_x1_t0.16_r4,x1_r4,teleport,5,1.0,0.16,4,745,536,288,1.72,702,288,True,1342,815,200,174,0.00010246654200000029,-88,0.6944444444444444,0,0.32384903028451517,0.7286846700008027,209.9569806056903
N5_x1_t0.16_r4,x1_r4,full_reduce,5,1.0,0.16,4,745,536,288,1.72,606,198,True,2447,1271,385,326,0.00016434260399999907,187,1.9444444444444444,0,0.9172002759989871,0.686267722005141,409.86400551997974
N5_x1_t0.24_r1,x1_r1,qiskit,5,1.0,0.24,1,187,134,72,1.72,187,72,True,407,244,60,52,3.071458799999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.008290058001875877,63.00628427316157
N5_x1_t0.24_r1,x1_r1,basic,5,1.0,0.24,1,187,134,72,1.72,131,62,True,357,192,48,40,2.2836695999999987e-05,-14,0.7741935483870968,0,0.09892800001779327,0.054105111994431354,50.77856000035586
N5_x1_t0.24_r1,x1_r1,teleport,5,1.0,0.24,1,187,134,72,1.72,183,72,True,383,225,56,48,2.897543999999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.11733970399654936,58.66511488531039
N5_x1_t0.24_r1,x1_r1,full_reduce,5,1.0,0.24,1,187,134,72,1.72,201,72,True,809,425,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.1129994130023988,117.6018312720172
N5_x1_t0.24_r2,x1_r2,qiskit,5,1.0,0.24,2,373,268,144,1.72,373,144,True,797,477,118,102,5.959123799999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.011008843997842632,124.03711576577167
N5_x1_t0.24_r2,x1_r2,basic,5,1.0,0.24,2,373,268,144,1.72,257,124,True,687,376,94,78,4.385054999999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.09875746999750845,99.58166722016027
N5_x1_t0.24_r2,x1_r2,teleport,5,1.0,0.24,2,373,268,144,1.72,356,144,True,712,423,104,90,5.351864999999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2804502200015122,109.0957367921037
N5_x1_t0.24_r2,x1_r2,full_reduce,5,1.0,0.24,2,373,268,144,1.72,335,113,True,1385,735,199,176,9.177835199999988e-05,86,1.761061946902655,0,0.4472759886846529,0.2811807120015146,211.46551977369307
N5_x1_t0.24_r4,x1_r4,qiskit,5,1.0,0.24,4,745,536,288,1.72,745,288,True,1547,961,234,202,0.00011745021000000042,-54,0.8125,0,0.40293893754959303,0.010429069996462204,246.09877875099184
N5_x1_t0.24_r4,x1_r4,basic,5,1.0,0.24,4,745,536,288,1.72,509,248,True,1350,756,186,154,8.613844200000008e-05,-62,0.75,0,0.4053940829884529,0.18784643699473236,197.18788165976906
N5_x1_t0.24_r4,x1_r4,teleport,5,1.0,0.24,4,745,536,288,1.72,702,288,True,1349,804,200,174,0.0001026983100000003,-88,0.6944444444444444,0,0.32384903028451517,0.6052964619884733,209.9569806056903
N5_x1_t0.24_r4,x1_r4,full_reduce,5,1.0,0.24,4,745,536,288,1.72,606,198,True,2440,1270,385,326,0.00016434104999999905,187,1.9444444444444444,0,0.9172002759989871,0.6237985359912273,409.86400551997974
N5_x1_t0.32_r1,x1_r1,qiskit,5,1.0,0.32,1,187,134,72,1.72,187,72,True,409,242,60,52,3.069949199999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.00976053299382329,63.00628427316157
N5_x1_t0.32_r1,x1_r1,basic,5,1.0,0.32,1,187,134,72,1.72,131,62,True,355,192,48,40,2.2871327999999985e-05,-14,0.7741935483870968,0,0.09892800001779327,0.05623403599020094,50.77856000035586
N5_x1_t0.32_r1,x1_r1,teleport,5,1.0,0.32,1,187,134,72,1.72,183,72,True,384,230,56,48,2.8990535999999978e-05,-16,0.7777777777777778,0,0.08525574426551938,0.10272252900176682,58.66511488531039
N5_x1_t0.32_r1,x1_r1,full_reduce,5,1.0,0.32,1,187,134,72,1.72,201,72,True,811,425,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.11758471399662085,117.6018312720172
N5_x1_t0.32_r2,x1_r2,qiskit,5,1.0,0.32,2,373,268,144,1.72,373,144,True,793,481,118,102,5.9675597999999854e-05,-26,0.8194444444444444,0,0.1998557882885834,0.0072413119924021885,124.03711576577167
N5_x1_t0.32_r2,x1_r2,basic,5,1.0,0.32,2,373,268,144,1.72,257,124,True,684,378,94,78,4.385054999999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.09360373200615868,99.58166722016027
N5_x1_t0.32_r2,x1_r2,teleport,5,1.0,0.32,2,373,268,144,1.72,356,144,True,694,416,104,90,5.3503553999999886e-05,-40,0.7222222222222222,0,0.1647868396051848,0.26367733400547877,109.0957367921037
N5_x1_t0.32_r2,x1_r2,full_reduce,5,1.0,0.32,2,373,268,144,1.72,335,113,True,1390,739,199,176,9.175703999999988e-05,86,1.761061946902655,0,0.4472759886846529,0.2752350170048885,211.46551977369307
N5_x1_t0.32_r4,x1_r4,qiskit,5,1.0,0.32,4,745,536,288,1.72,745,288,True,1565,944,234,202,0.00011734453800000042,-54,0.8125,0,0.40293893754959303,0.014743476989679039,246.09877875099184
N5_x1_t0.32_r4,x1_r4,basic,5,1.0,0.32,4,745,536,288,1.72,509,248,True,1361,751,186,154,8.601678600000008e-05,-62,0.75,0,0.4053940829884529,0.17860333299904596,197.18788165976906
N5_x1_t0.32_r4,x1_r4,teleport,5,1.0,0.32,4,745,536,288,1.72,702,288,True,1349,810,200,174,0.0001025899740000003,-88,0.6944444444444444,0,0.32384903028451517,0.7396239589870675,209.9569806056903
