method,time,survival,electric_energy,magnetic_energy,total_energy,tvd_to_exact_hamiltonian,mirror_asymmetry,norm_error,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4
strang_r2,0.12,0.4362911616114026,3.868833443111626,-0.8650410128549321,3.003792430256694,0.0010399792344446322,0.00021144300227393317,2.0872192862952943e-14,0.20772591798611897,0.0624587836085145,0.7984521023428136,0.062061686313276604,0.20775170669542894
strang_r2,0.124,0.411735372539918,3.926537469346839,-0.9215993871108534,3.0049380822359852,0.0011884426601480144,0.0002348607803075234,2.375877272697835e-14,0.22021749428718604,0.06690897766929173,0.7866587944851088,0.0664696903274149,0.22024792850592426
strang_r2,0.128,0.38773385170326835,3.985794715484894,-0.9794947834355855,3.0062999320493082,0.0013512357385818967,0.0002595672925932227,2.5646151868841116e-14,0.2329153199059219,0.07151760837815474,0.7746993969063486,0.07103412565604743,0.23295097176900104
strang_r2,0.132,0.36434503395876455,4.0465436892157935,-1.0386413585831622,3.007902330632631,0.0015288773536535746,0.0002855113842415505,1.8096635301390052e-14,0.24580145903660772,0.07628318677108595,0.7625902965117497,0.07575363547119003,0.2458429305051949
strang_r2,0.136,0.3416213856609159,4.108717953790583,-1.0989474500316607,3.009770503758922,0.0017218003387337649,0.00031263143640673785,2.1316282072803006e-14,0.25885770552055365,0.0812038660805077,0.7503477513484428,0.08062652220498229,0.2589056245178417
strang_r2,0.14,0.3196093120667085,4.172246131222099,-1.160315733759823,3.011930397462276,0.001930337793490236,0.00034085571630955436,2.453592884421596e-14,0.2720656139820584,0.08627743419179479,0.7379878556513351,0.08565073853656732,0.27212062975945006
strang_r2,0.14400000000000002,0.2983491175445067,4.237051935061535,-1.222643428024996,3.014408507036539,0.0021547094532105996,0.0003701028253490918,2.2648549702353193e-14,0.2854065319546423,0.09150130815491278,0.7255265067463251,0.09082388023786259,0.28546930968829026
strang_r2,0.148,0.277875017057253,4.303054233041566,-1.285822542400291,3.017231690641275,0.002395008324856017,0.00040028223926544954,2.4202861936828413e-14,0.2988616329310428,0.09687253078728791,0.7129793738972213,0.09614318093679851,0.2989328475590843
strang_r2,0.152,0.2582151969055009,4.37016713966704,-1.3497401709465695,3.0204269687204706,0.0026511878183463015,0.00043129493333150803,2.864375403532904e-14,0.31241195026348134,0.10238776938981956,0.7003618691679916,0.10160550884454028,0.3124922795848651
strang_r2,0.156,0.23939192226726105,4.438300138626707,-1.4142788280253678,3.0240213106013396,0.0029260778619688683,0.00046303408465583895,1.6209256159527285e-14,0.3260384118340603,0.10804331658393082,0.68768912035729,0.10720736548101092,0.3261285289004521
strang_r2,0.16,0.2214216886642667,4.507358234695246,-1.4793168249057205,3.028041409789526,0.0032173341067964056,0.000495385842929609,2.0872192862952943e-14,0.33972187540885607,0.11383509326384142,0.6749759460476535,0.11294488642071716,0.33982244025159103
strang_r2,0.164,0.20431541412200713,4.577242134597327,-1.5447286849839066,3.0325134496134205,0.003524447950295143,0.0005282301602952746,2.275957200481571e-14,0.35344316458354724,0.11975865364492849,0.6622368327976698,0.11881384406862704,0.35355481532783634
strang_r2,0.168,0.1880786684767636,4.647848456109722,-1.6103855951212607,3.0374628609884615,0.0038468594369880614,0.0005614416704809791,2.2870594307278225e-14,0.36718310522284126,0.1258091923761166,0.6494859144909645,0.12480965246354385,0.36730644865123047
strang_r2,0.17200000000000001,0.17271193601997362,4.719069964495005,-1.6761558903174256,3.0429140741775793,0.004183830138258082,0.0005948906069944693,1.965094753586527e-14,0.3809225622912569,0.13198155367198183,0.6367369538427092,0.13092737409441818,0.3810581639276822
strang_r2,0.176,0.15821090745988067,4.790795835181994,-1.7419055686717564,3.0488902665102375,0.004534437524793239,0.0006284437498753348,2.120525977034049e-14,0.3946424769683606,0.13827024240849936,0.6240033260509948,0.13716172870315305,0.39479085076276493
strang_r2,0.18,0.14456679702407216,4.862911941442128,-1.8074988333505737,3.0554131080915545,0.004897571346046169,0.0006619653904280792,2.375877272697835e-14,0.40832390393781487,0.14466943711537655,0.6112980045680271,0.14350710403592473,0.4084855016392192
strang_r2,0.184,0.13176668042442877,4.935301165654289,-1.8727986580698812,3.062502507584408,0.005271932229106887,0.0006953183033508725,2.398081733190338e-14,0.4219480487363297,0.15117300478758955,0.5986335489542075,0.14995756849385056,0.42212324904929244
strang_r2,0.188,0.11979384935790405,5.007843732606584,-1.9376673724260896,3.0701763601804943,0.005656032690237876,0.00072836471584381,2.3092638912203256e-14,0.4354963050460357,0.15777451742924645,0.5860220947671044,0.15650688562309537,0.43568540267157224
strang_r2,0.192,0.10862817822140806,5.080417563151221,-2.001967263260176,3.0784502998910455,0.006048200728511897,0.0007609672635372072,2.0539125955565396e-14,0.44895029181177815,0.16446727023417904,0.5734753454269932,0.16314853037424604,0.44915348647891956
strang_r2,0.196,0.09824649877518876,5.152898646409037,-2.065561188124466,3.087337458284571,0.006446586142619325,0.000792989923501658,2.5868196473766147e-14,0.4622918900634131,0.17124430129977747,0.5610045659911345,0.1698757070510432,0.46250927566168215
strang_r2,0.2,0.08862297859414633,5.225161428614761,-2.1283131968365048,3.0968482317782566,0.006849169679185568,0.0008242989150828717,1.965094753586527e-14,0.47550327932247505,0.17809841276356844,0.548620578760425,0.1766813688594582,0.47573483324853055
strang_r2,0.20400000000000001,0.07972949929758098,5.297079216600528,-2.1900891570499046,3.1069900595506232,0.007253775084094076,0.0008547635599324976,2.19824158875781e-14,0.48856697347231864,0.1850221932458085,0.536333760634205,0.18355823895954582,0.48881254630592097
strang_r2,0.20800000000000002,0.07153603074153024,5.3685245938387745,-2.250757379749463,3.1177672140893113,0.0076639195865306755,0.0008842570932880156,1.942890293094024e-14,0.5014658559714921,0.19200804147611544,0.5241540421224744,0.190498832914756,0.5017251615967087
strang_r2,0.212,0.06401099759010676,5.4393698468985505,-2.3101892405830284,3.129180606315522,0.008105980579292385,0.0009126574193345088,1.865174681370263e-14,0.5141832142909386,0.19904819097758003,0.5120909079186459,0.19749548242614337,0.514455820578171
strang_r2,0.216,0.057121634948857136,5.509487400121218,-2.3682597929793845,3.1412276071418335,0.008565398945506144,0.0009398478043292635,2.6867397195928788e-14,0.526702773457497,0.2061347356782384,0.5001533989313081,0.20454036023260105,0.5269880936205182
strang_r2,0.22,0.050834330039402166,5.578750256283707,-2.424848369063956,3.1539018872197504,0.009097699343930746,0.0009657175020401226,1.609823385706477e-14,0.539008728588306,0.21325965631689625,0.48835011566939207,0.21162550605253125,0.5393060133280212
strang_r2,0.224,0.04511494721552416,5.647032440994263,-2.479839164474627,3.167193276519636,0.00967024928855965,0.0009901623069871468,2.0539125955565396e-14,0.5510857763034998,0.22041484750823448,0.4766892228720412,0.21874285343744032,0.5513941068466799
strang_r2,0.228,0.039929133961441786,5.714209448558895,-2.5331218032965364,3.181087645262359,0.010287805074639764,0.001013085031924682,2.375877272697835e-14,0.562919144908166,0.22759214533092603,0.46517845527262147,0.2258842574039105,0.5632374270449998
strang_r2,0.232,0.0352426058677927,5.780158687056849,-2.5845918794727454,3.1955668075841035,0.01096535942509956,0.0010343959069381847,2.3314683517128287e-14,0.5744946232380949,0.2347833553017974,0.4538251243846718,0.23304152270690764,0.5748215824570815
strang_r2,0.23600000000000002,0.03102140894481894,5.844759920383315,-2.634151471210974,3.2106084491723412,0.01170637820738248,0.001054012898498588,2.708944180085382e-14,0.5857985880685344,0.2419802805993264,0.44263612619753523,0.2402064326149175,0.5861327658811226
strang_r2,0.24,0.027232157999957637,5.907895705045162,-2.6817096250885655,3.2261860799565962,0.01247774855102649,0.0010718619477274455,1.7319479184152442e-14,0.596818029989933,0.24917475040050951,0.4316179496696744,0.24737077804555066,0.5971577815304291
strang_r2,0.244,0.02384225017347928,5.969451819535276,-2.727182806758752,3.2422690127765246,0.013279112019448206,0.0010878771280194988,2.6645352591003757e-14,0.6075405776599063,0.25635864819652343,0.4207766859087915,0.25452638691917795,0.6078840706385998
strang_r2,0.248,0.020820053086034847,6.029317684165768,-2.7704953153807192,3.258822368785049,0.014109922753960842,0.0011020007230278794,2.942091015256665e-14,0.617954520346692,0.2635239399547165,0.4101180379300267,0.26166515358796405,0.6182997354259953
strang_r2,0.252,0.018135067401206052,6.087386769298636,-2.8115796591281494,3.2758071101704864,0.014981986931309943,0.001114183226793436,2.3314683517128287e-14,0.6280488286851481,0.27066270199685266,0.3996473308857338,0.26877906819795094,0.6283935613398333
strang_r2,0.256,0.015758063940132253,6.14355698998882,-2.8503768893791133,3.293180100609707,0.015898199799400256,0.0011243832685373378,2.5424107263916085e-14,0.6378131735732715,0.277767148466769,0.389369522663873,0.27586024584315144,0.6381550374867286
strang_r2,0.26,0.01366119579988509,6.197731085134469,-2.8868368914482483,3.310894193686221,0.01684616488054979,0.0011325674652860052,2.5979218776228663e-14,0.6472379431439369,0.28482965826405443,0.3792892147556683,0.28290095537237264,0.6475743751828271
strang_r2,0.264,0.011818086218931293,6.249816979319184,-2.920918629990162,3.328898349329022,0.01782487418791273,0.0011387102060688992,2.2648549702353193e-14,0.6563142577537298,0.29184280132435236,0.36941066329745303,0.28989364771200005,0.6566425245535152
strang_r2,0.268,0.010203893198612087,6.299728125630644,-2.952590347479823,3.3471377781508207,0.018857275065459277,0.0011427933719186933,2.6756374893466273e-14,0.6650339829383838,0.2987993641313147,0.3597377901964724,0.29683098357115056,0.665351189122057
strang_r2,0.272,0.00879535212637421,6.347383827845447,-2.9818297144584216,3.3655541133870255,0.019969007303587766,0.0011448059963189983,2.142730437526552e-14,0.6733897402920658,0.3056923743500367,0.3502741942555172,0.3037058603993752,0.6736928383340423
strang_r2,0.276,0.007570797852388546,6.392709540480972,-3.008623930519656,3.384085609961316,0.02128204386223949,0.0011447438710394386,2.6201263381153694e-14,0.6813749162356287,0.3125151244768487,0.3410231622167278,0.3105114384713487,0.6816607179722076
