case_id,circuit_structure_hash,target_name,layout_name,strategy,native_2q_count,native_2q_depth,estimated_duration,cost
N2_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_line_6q_favorable,favorable,qiskit,3,3,1.39305e-06,3003000.0000013933
N2_x2_t0.24_r1_current__synthetic_line_6q_spread__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_line_6q_spread,spread,qiskit,15,12,6.693744000000001e-06,15012000.000006694
N2_x2_t0.24_r1_current__synthetic_ring_6q_transpiler__seed7,35020745cbf315956a25dd89ce4cee9e5cbb9ea64d68560011a94cb992a049cd,synthetic_ring_6q_transpiler,transpiler,qiskit,3,3,2.133198e-06,3003000.000002133
N2_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,ea9fd4755a15f06dce28cd5aa229180e11dd3f9164c2862f20878fd6099a34ea,synthetic_line_6q_spread,spread,qiskit,15,12,6.693744000000001e-06,15012000.000006694
N2_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,9ecbc4c70bcf0e70de31553ecd92e6eaf26a4895d6ac4b94054793f40db38e6f,synthetic_ring_6q_transpiler,transpiler,qiskit,3,3,2.133198e-06,3003000.000002133
N2_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,5292a2a2bb1015f0074752bd9aaa660e2117a2f209faf3a68314679e6f2d4205,synthetic_grid_6q_transpiler,transpiler,qiskit,3,3,1.39305e-06,3003000.0000013933
N2_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,d7e156d9abf60a9a236245a817a665649a60487f1f7949726086ebb0a11eda90,synthetic_irregular_7q_favorable,favorable,qiskit,3,3,7.652340000000001e-07,3003000.000000765
N3_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,synthetic_irregular_7q_spread,spread,teleport,48,45,2.378241599999998e-05,48045000.00002378
N3_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,53c4f0677915c62f9f4a3a2141402bf5759264456ba570678b9a3dd1792b6691,synthetic_heavy_hex_like_7q_transpiler,transpiler,teleport,40,40,1.213674000000001e-05,40040000.00001214
N3_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,synthetic_line_6q_favorable,favorable,teleport,24,24,1.557574200000001e-05,24024000.00001557
N3_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,synthetic_line_6q_spread,spread,teleport,51,46,3.4902173999999995e-05,51046000.0000349
N3_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,a8c77d0b2cdabef3b9ba279df496609f76a174ba9474507d77488b124b9a2527,synthetic_ring_6q_transpiler,transpiler,teleport,70,70,3.9665184e-05,70070000.00003967
N3_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,6c1d27e17ed1cf182fc54db750bd1543268c42d972721db2752c586c79302655,synthetic_grid_6q_transpiler,transpiler,teleport,142,142,9.658909200000005e-05,142142000.0000966
N3_x4_t0.32_r2_symmetry__synthetic_grid_6q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_grid_6q_transpiler,transpiler,basic,42,42,2.5891416000000025e-05,42042000.00002589
N3_x4_t0.32_r2_symmetry__synthetic_heavy_hex_like_7q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_heavy_hex_like_7q_transpiler,transpiler,basic,42,42,1.339592400000001e-05,42042000.0000134
N3_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_irregular_7q_favorable,favorable,basic,42,42,1.1658551999999992e-05,42042000.00001166
N3_x4_t0.32_r2_symmetry__synthetic_irregular_7q_spread__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_irregular_7q_spread,spread,basic,48,45,2.3549981999999984e-05,48045000.00002355
N3_x4_t0.32_r2_symmetry__synthetic_line_6q_favorable__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_line_6q_favorable,favorable,basic,42,42,2.5416114000000028e-05,42042000.00002541
N3_x4_t0.32_r2_symmetry__synthetic_line_6q_spread__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_line_6q_spread,spread,basic,51,46,3.4814261999999986e-05,51046000.00003482
N3_x4_t0.32_r2_symmetry__synthetic_ring_6q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,synthetic_ring_6q_transpiler,transpiler,basic,42,42,2.4669971999999982e-05,42042000.00002467
N4_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,722837ca17cf8a26549d515c36b44e659a6fd16bdb027872c8cb7007139f134c,synthetic_irregular_7q_spread,spread,teleport,72,61,2.508488999999997e-05,72061000.00002508
N4_x1_t0.16_r2_reversed__synthetic_grid_6q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_grid_6q_transpiler,transpiler,teleport,68,60,4.5195425999999975e-05,68060000.0000452
N4_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_heavy_hex_like_7q_transpiler,transpiler,teleport,68,60,1.729690800000001e-05,68060000.0000173
N4_x1_t0.16_r2_reversed__synthetic_irregular_7q_favorable__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_irregular_7q_favorable,favorable,teleport,68,60,2.2818935999999994e-05,68060000.00002281
N4_x1_t0.16_r2_reversed__synthetic_irregular_7q_spread__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_irregular_7q_spread,spread,teleport,74,62,3.992803199999999e-05,74062000.00003994
N4_x1_t0.16_r2_reversed__synthetic_line_6q_favorable__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_line_6q_favorable,favorable,teleport,68,60,4.521917999999998e-05,68060000.00004523
N4_x1_t0.16_r2_reversed__synthetic_line_6q_spread__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_line_6q_spread,spread,teleport,74,62,4.117189799999997e-05,74062000.00004117
N4_x1_t0.16_r2_reversed__synthetic_ring_6q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,synthetic_ring_6q_transpiler,transpiler,teleport,68,60,4.521917999999998e-05,68060000.00004523
N4_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,5e7b6193b40d2957c5e87a2adb552bc2ec50ce7dd4f8c6a534264966f43f22c4,synthetic_line_6q_favorable,favorable,basic,34,30,2.0289246000000005e-05,34030000.00002029
N4_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,722837ca17cf8a26549d515c36b44e659a6fd16bdb027872c8cb7007139f134c,synthetic_line_6q_spread,spread,basic,72,61,3.819665400000001e-05,72061000.00003819
N4_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,4c02070fde736bde53d19c2818950c4ccec18611744acc48bced18e5d2043a97,synthetic_ring_6q_transpiler,transpiler,teleport,126,110,6.0901703999999984e-05,126110000.0000609
N4_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,7982982987e59a949c739e2bae48e48a06af33b8104d2d18d107b51b6d37128a,synthetic_grid_6q_transpiler,transpiler,teleport,246,214,0.000158675388,246214000.00015867
N4_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,840108f27be7018d9523cce50ed0465580fc76086dc4d719c7931a97dc6b3878,synthetic_irregular_7q_favorable,favorable,basic,43,37,1.4536782000000004e-05,43037000.000014536
