method,time,bitstring_q4_to_q0,probability
strang_r2,0.0,11010,1.0386738328017196e-135
strang_r2,0.0,11011,9.226422032453041e-169
strang_r2,0.0,11100,1.164316418856239e-69
strang_r2,0.0,11101,9.198557062333283e-105
strang_r2,0.0,11110,9.219104115596436e-102
strang_r2,0.0,11111,6.596251137494856e-137
exact,0.08,00000,0.07199029256089377
exact,0.08,00001,0.00809252278238308
exact,0.08,00010,0.0031209458075318304
exact,0.08,00011,8.331675411288577e-05
exact,0.08,00100,0.6958095740209393
exact,0.08,00101,0.07701810562178509
exact,0.08,00110,0.019585944437126246
exact,0.08,00111,0.0005172342703951774
exact,0.08,01000,0.0031209458075318235
exact,0.08,01001,0.00035236350617349327
exact,0.08,01010,0.00017097672578847176
exact,0.08,01011,4.565377853732455e-06
exact,0.08,01100,0.01958594443712629
exact,0.08,01101,0.0021679815310564955
exact,0.08,01110,0.0005457871514244547
exact,0.08,01111,1.4414448607614375e-05
exact,0.08,10000,0.008092522782383095
exact,0.08,10001,0.0009097627333798186
exact,0.08,10010,0.00035236350617349327
exact,0.08,10011,9.406757791612596e-06
exact,0.08,10100,0.07701810562178496
exact,0.08,10101,0.008524995715816025
exact,0.08,10110,0.0021679815310564937
exact,0.08,10111,5.725295525004569e-05
exact,0.08,11000,8.331675411288447e-05
exact,0.08,11001,9.406757791612095e-06
exact,0.08,11010,4.565377853732177e-06
exact,0.08,11011,1.2190015151708039e-07
exact,0.08,11100,0.0005172342703951795
exact,0.08,11101,5.725295525004275e-05
exact,0.08,11110,1.4414448607613638e-05
exact,0.08,11111,3.806914709690689e-07
strang_r2,0.08,00000,0.07195482342244004
strang_r2,0.08,00001,0.00807789373354738
strang_r2,0.08,00010,0.0031272623911791026
strang_r2,0.08,00011,8.323666343543928e-05
strang_r2,0.08,00100,0.6956647483205377
strang_r2,0.08,00101,0.07705245879679438
strang_r2,0.08,00110,0.019687305430576795
strang_r2,0.08,00111,0.0005193281507196451
strang_r2,0.08,01000,0.003142653204252543
strang_r2,0.08,01001,0.00035393450189621873
strang_r2,0.08,01010,0.00016297826261617426
strang_r2,0.08,01011,4.34010204829519e-06
strang_r2,0.08,01100,0.019583791271212764
strang_r2,0.08,01101,0.002169139943179196
strang_r2,0.08,01110,0.0005490659032840363
strang_r2,0.08,01111,1.4484459397725285e-05
strang_r2,0.08,10000,0.008093521853110417
strang_r2,0.08,10001,0.0009086520187973042
strang_r2,0.08,10010,0.00035278891135463665
strang_r2,0.08,10011,9.390083332178653e-06
strang_r2,0.08,10100,0.07703208564532318
strang_r2,0.08,10101,0.008532133798962557
strang_r2,0.08,10110,0.0021802159018322565
strang_r2,0.08,10111,5.751148995695338e-05
strang_r2,0.08,11000,8.370199249689564e-05
strang_r2,0.08,11001,9.426861258743117e-06
strang_r2,0.08,11010,4.343163906105375e-06
strang_r2,0.08,11011,1.1565796839507235e-07
strang_r2,0.08,11100,0.0005165837854146268
strang_r2,0.08,11101,5.7217825864429115e-05
strang_r2,0.08,11110,1.4484353287160293e-05
strang_r2,0.08,11111,3.820999960872527e-07
exact,0.16,00000,0.09213093357827407
exact,0.16,00001,0.056742291978907934
exact,0.16,00010,0.02094468841849516
exact,0.16,00011,0.0025530605079244276
exact,0.16,00100,0.2225669393209982
exact,0.16,00101,0.12689406267250797
exact,0.16,00110,0.03424753985037722
exact,0.16,00111,0.0039706606112517575
exact,0.16,01000,0.020944688418495155
exact,0.16,01001,0.013190691249413116
exact,0.16,01010,0.006196098333743701
exact,0.16,01011,0.0007564438410624681
exact,0.16,01100,0.03424753985037728
exact,0.16,01101,0.019533060371663545
exact,0.16,01110,0.005030902694335632
exact,0.16,01111,0.000584094504288464
exact,0.16,10000,0.05674229197890788
exact,0.16,10001,0.035008869209886086
exact,0.16,10010,0.01319069124941311
exact,0.16,10011,0.0016082221782734898
exact,0.16,10100,0.12689406267250766
exact,0.16,10101,0.07232760659731072
exact,0.16,10110,0.019533060371663514
exact,0.16,10111,0.0022644354662818495
exact,0.16,11000,0.002553060507924413
exact,0.16,11001,0.001608222178273476
exact,0.16,11010,0.0007564438410624586
exact,0.16,11011,9.233519569437272e-05
exact,0.16,11100,0.00397066061125178
exact,0.16,11101,0.002264435466281828
exact,0.16,11110,0.000584094504288457
exact,0.16,11111,6.781176886197034e-05
