term_ordering,time,tvd_to_exact_hamiltonian,energy_drift,mirror_asymmetry,source_gate_count,source_depth,source_2q_count
current,0.096,0.000422683574083786,0.00023603714247055763,9.95064272536969e-05,373,268,144
current,0.1,0.0004949001844490386,0.0005318723356659838,0.00011472101046816272,373,268,144
current,0.10400000000000001,0.0005767804058613051,0.0009225844738742772,0.00013130527346897486,373,268,144
current,0.108,0.0006743691447106108,0.0014250318467294854,0.0001492722275839263,373,268,144
current,0.112,0.0007836164564299767,0.00205749611612438,0.0001686245738106093,373,268,144
current,0.116,0.0009052540649968231,0.0028396373139916165,0.00018935440246120247,373,268,144
current,0.12,0.0010399792344446322,0.003792430256694068,0.00021144300227393317,373,268,144
current,0.124,0.0011884426601480144,0.004938082235985242,0.0002348607803075234,373,268,144
current,0.128,0.0013512357385818967,0.006299932049308232,0.0002595672925932227,373,268,144
current,0.132,0.0015288773536535746,0.007902330632631127,0.0002855113842415505,373,268,144
current,0.136,0.0017218003387337649,0.009770503758922189,0.00031263143640673785,373,268,144
current,0.14,0.001930337793490236,0.011930397462275977,0.00034085571630955436,373,268,144
current,0.14400000000000002,0.0021547094532105996,0.014408507036538953,0.0003701028253490918,373,268,144
current,0.148,0.002395008324856017,0.017231690641275055,0.00040028223926544954,373,268,144
current,0.152,0.0026511878183463015,0.020426968720470562,0.00043129493333150803,373,268,144
current,0.156,0.0029260778619688683,0.024021310601339607,0.00046303408465583895,373,268,144
current,0.16,0.0032173341067964056,0.02804140978952585,0.000495385842929609,373,268,144
current,0.164,0.003524447950295143,0.03251344961342051,0.0005282301602952746,373,268,144
current,0.168,0.0038468594369880614,0.03746286098846152,0.0005614416704809791,373,268,144
current,0.17200000000000001,0.004183830138258082,0.04291407417757931,0.0005948906069944693,373,268,144
current,0.176,0.004534437524793239,0.048890266510237534,0.0006284437498753348,373,268,144
current,0.18,0.004897571346046169,0.05541310809155453,0.0006619653904280792,373,268,144
current,0.184,0.005271932229106887,0.06250250758440812,0.0006953183033508725,373,268,144
current,0.188,0.005656032690237876,0.07017636018049433,0.00072836471584381,373,268,144
current,0.192,0.006048200728511897,0.07845029989104546,0.0007609672635372072,373,268,144
current,0.196,0.006446586142619325,0.08733745828457096,0.000792989923501658,373,268,144
current,0.2,0.006849169679185568,0.09684823177825663,0.0008242989150828717,373,268,144
current,0.20400000000000001,0.007253775084094076,0.10699005955062324,0.0008547635599324976,373,268,144
current,0.20800000000000002,0.0076639195865306755,0.11776721408931135,0.0008842570932880156,373,268,144
current,0.212,0.008105980579292385,0.12918060631552208,0.0009126574193345088,373,268,144
current,0.216,0.008565398945506144,0.14122760714183347,0.0009398478043292635,373,268,144
current,0.22,0.009097699343930746,0.1539018872197504,0.0009657175020401226,373,268,144
current,0.224,0.00967024928855965,0.16719327651963578,0.0009901623069871468,373,268,144
current,0.228,0.010287805074639764,0.18108764526235888,0.001013085031924682,373,268,144
current,0.232,0.01096535942509956,0.1955668075841035,0.0010343959069381847,373,268,144
current,0.23600000000000002,0.01170637820738248,0.21060844917234123,0.001054012898498588,373,268,144
current,0.24,0.01247774855102649,0.22618607995659623,0.0010718619477274455,373,268,144
current,0.244,0.013279112019448206,0.24226901277652457,0.0010878771280194988,373,268,144
current,0.248,0.014109922753960842,0.25882236878504905,0.0011020007230278794,373,268,144
current,0.252,0.014981986931309943,0.2758071101704864,0.001114183226793436,373,268,144
current,0.256,0.015898199799400256,0.2931801006097068,0.0011243832685373378,373,268,144
current,0.26,0.01684616488054979,0.31089419368622107,0.0011325674652860052,373,268,144
current,0.264,0.01782487418791273,0.32889834932902184,0.0011387102060688992,373,268,144
current,0.268,0.018857275065459277,0.3471377781508207,0.0011427933719186933,373,268,144
current,0.272,0.019969007303587766,0.3655541133870255,0.0011448059963189983,373,268,144
current,0.276,0.02128204386223949,0.3840856099613159,0.0011447438710394386,373,268,144
current,0.28,0.022874368709629257,0.40266737003288267,0.001142609102548764,373,268,144
current,0.28400000000000003,0.024599140182387486,0.42123159421054535,0.0011384096243197694,373,268,144
current,0.28800000000000003,0.026390378929730864,0.43970785745664553,0.0011321586704261533,373,268,144
current,0.292,0.028244619759421045,0.45802340854491064,0.0011238742157924364,373,268,144
current,0.296,0.030157779469456997,0.4761034917838787,0.0011135783884105854,373,268,144
current,0.3,0.03212515511767158,0.49387168957347694,0.0011012968586628369,373,268,144
current,0.304,0.034141428400287804,0.5112502842230673,0.0010870582107363747,373,268,144
current,0.308,0.036200676376181976,0.5281606373311503,0.0010708933008548582,373,268,144
current,0.312,0.03829638869811097,0.5445235849044092,0.0010816202519605689,373,268,144
current,0.316,0.04042149143108224,0.560259846283278,0.00111495557151986,373,268,144
current,0.32,0.04256837745235664,0.5752904448386493,0.0011499997348421998,373,268,144
symmetry,0.0,9.2148511043888e-15,5.906386491005833e-14,3.097051378274098e-34,373,212,144
symmetry,0.004,4.672506146407446e-09,6.003356034511853e-09,4.0657581468206416e-19,373,212,144
symmetry,0.008,7.45932585022409e-08,9.616284790681107e-08,6.2341624917916505e-19,373,212,144
symmetry,0.012,3.7622342124488595e-07,4.877502113309617e-07,1.5178830414797062e-18,373,212,144
symmetry,0.016,1.1828613947554018e-06,1.545612708042654e-06,8.673617379884035e-19,373,212,144
symmetry,0.02,2.8685230641855167e-06,3.786211892009561e-06,1.8431436932253575e-18,373,212,144
symmetry,0.024,5.899543505866256e-06,7.883172371769831e-06,1.0842021724855044e-17,373,212,144
symmetry,0.028,1.08240652883487e-05,1.4674236647138628e-05,3.469446951953614e-18,373,212,144
symmetry,0.032,1.8259619747175368e-05,2.5169494911381207e-05,1.734723475976807e-18,373,212,144
symmetry,0.036000000000000004,2.8879044628958646e-05,4.056073219205203e-05,0.0,373,212,144
symmetry,0.04,4.3395013505642616e-05,6.223171129127181e-05,1.1275702593849246e-17,373,212,144
symmetry,0.044,6.254347851249726e-05,9.176918863529338e-05,1.6479873021779667e-17,373,212,144
symmetry,0.048,8.706634823953128e-05,0.0001309744396653656,9.540979117872439e-18,373,212,144
symmetry,0.052000000000000005,0.00011769373586855072,0.00018187505443778562,1.9081958235744878e-17,373,212,144
symmetry,0.056,0.00015512611924110403,0.00024673675037956144,1.214306433183765e-17,373,212,144
symmetry,0.06,0.00020001675427730784,0.0003280749368670399,5.984795992119984e-17,373,212,144
symmetry,0.064,0.0002529546754672486,0.0004286657607326383,4.336808689942018e-17,373,212,144
symmetry,0.068,0.00031444860322043215,0.0005515563554499003,5.0306980803327406e-17,373,212,144
symmetry,0.07200000000000001,0.0003849120569877193,0.0007000740172076192,4.5102810375396984e-17,373,212,144
symmetry,0.076,0.00046464994649227765,0.0008778340322885825,1.5612511283791264e-17,373,212,144
symmetry,0.08,0.0005538468812052057,0.0010887458867321342,3.9898639947466563e-17,373,212,144
symmetry,0.084,0.0006525574013685498,0.0013370175977804877,2.7755575615628914e-17,373,212,144
symmetry,0.088,0.000760698293088496,0.001627157918657307,1.0408340855860843e-16,373,212,144
symmetry,0.092,0.0008780431061291115,0.0019639761843111003,1.0408340855860843e-16,373,212,144
symmetry,0.096,0.0010042189471404126,0.002352579582982184,6.245004513516506e-17,373,212,144
symmetry,0.1,0.0011387055739594278,0.002798367660067136,1.3183898417423734e-16,373,212,144
symmetry,0.10400000000000001,0.001280836769466373,0.003307023884503213,2.0816681711721685e-17,373,212,144
symmetry,0.108,0.0014298039272390604,0.003884504132738442,1.0755285551056204e-16,373,212,144
symmetry,0.112,0.0015846617368968463,0.004537021974067024,7.28583859910259e-17,373,212,144
symmetry,0.116,0.0017443358155496387,0.00527103067102086,1.734723475976807e-16,373,212,144
symmetry,0.12,0.0019076320940504255,0.006093201837788165,1.0408340855860843e-16,373,212,144
symmetry,0.124,0.0020732477335620183,0.007010400734010602,4.163336342344337e-17,373,212,144
symmetry,0.128,0.0022667626795969246,0.008029658202822088,1.6653345369377348e-16,373,212,144
