num_plaquettes,x,time,term_ordering,fit,exponent,standard_error,r_squared,repetitions
6,1.0,0.16,symmetry,full,2.0019163986634267,0.0006807445123345774,0.9999997687369127,"[1, 2, 4, 8]"
6,1.0,0.16,symmetry,asymptotic,2.0007545062593914,0.0002589894332846612,0.9999999832437637,"[2, 4, 8]"
6,2.0,0.32,current,full,1.8760069882047223,0.05794192836043718,0.9980957709024261,"[1, 2, 4, 8]"
6,2.0,0.32,current,asymptotic,1.97611210416801,0.009198454974805655,0.9999783330786339,"[2, 4, 8]"
6,2.0,0.32,reversed,full,2.119867357033296,0.04165208229318347,0.9992284734825678,"[1, 2, 4, 8]"
6,2.0,0.32,reversed,asymptotic,2.048903531151906,0.016774151461526172,0.9999329792951838,"[2, 4, 8]"
6,2.0,0.32,symmetry,full,2.0782923012044074,0.027693069794538106,0.9996450192971446,"[1, 2, 4, 8]"
6,2.0,0.32,symmetry,asymptotic,2.0310138565941136,0.010445654532645898,0.9999735494896145,"[2, 4, 8]"
7,1.0,0.16,current,full,1.9822714946190028,0.006683181934435543,0.9999772668080479,"[1, 2, 4, 8]"
7,1.0,0.16,current,asymptotic,1.9937216033747862,0.0021946039076457943,0.999998788334505,"[2, 4, 8]"
7,1.0,0.16,reversed,full,2.011562388248665,0.004229460439386529,0.9999911584363722,"[1, 2, 4, 8]"
7,1.0,0.16,reversed,asymptotic,2.0043293471833077,0.0014989572866126303,0.9999994407060757,"[2, 4, 8]"
7,1.0,0.16,symmetry,full,2.0116237202720657,0.004249780273906919,0.9999910738213279,"[1, 2, 4, 8]"
7,1.0,0.16,symmetry,asymptotic,2.004356143496215,0.0015078820333964838,0.9999994340413471,"[2, 4, 8]"
7,2.0,0.32,current,full,1.9050686897127407,0.052058076371199885,0.9985087967392033,"[1, 2, 4, 8]"
7,2.0,0.32,current,asymptotic,1.995210284597181,0.0027757335662842576,0.9999980645704639,"[2, 4, 8]"
7,2.0,0.32,reversed,full,2.129866894989121,0.05140869448878734,0.9988361621506702,"[1, 2, 4, 8]"
7,2.0,0.32,reversed,asymptotic,2.041764672253361,0.016661330286052184,0.9999334145930289,"[2, 4, 8]"
7,2.0,0.32,symmetry,full,2.0740278602995703,0.02579037300502021,0.9996908410784024,"[1, 2, 4, 8]"
7,2.0,0.32,symmetry,asymptotic,2.030031900379835,0.009982111496382076,0.999975821541602,"[2, 4, 8]"
8,1.0,0.16,current,full,1.9817519808068897,0.006861028793980073,0.9999760282650726,"[1, 2, 4, 8]"
8,1.0,0.16,current,asymptotic,1.9935048595779459,0.0022697242593926084,0.9999987036835305,"[2, 4, 8]"
8,1.0,0.16,reversed,full,2.0099450708255615,0.0036306342006673905,0.9999934743500641,"[1, 2, 4, 8]"
8,1.0,0.16,reversed,asymptotic,2.003736906917997,0.0012930680525747942,0.9999995835516097,"[2, 4, 8]"
8,1.0,0.16,symmetry,full,2.008099147055997,0.002958457484372084,0.9999956590131328,"[1, 2, 4, 8]"
8,1.0,0.16,symmetry,asymptotic,2.003040161363937,0.0010520423232236987,0.9999997241411068,"[2, 4, 8]"
8,2.0,0.32,current,full,1.8956056143712934,0.055081686164285416,0.9983141625075974,"[1, 2, 4, 8]"
8,2.0,0.32,current,asymptotic,1.990955136035467,0.004172363542048341,0.9999956082316064,"[2, 4, 8]"
8,2.0,0.32,reversed,full,2.146077660043653,0.06047528508232526,0.9984143556159802,"[1, 2, 4, 8]"
8,2.0,0.32,reversed,asymptotic,2.041949682772424,0.014671097821311924,0.9999483806258358,"[2, 4, 8]"
8,2.0,0.32,symmetry,full,2.056764230171326,0.016764122394075508,0.999867148971874,"[1, 2, 4, 8]"
8,2.0,0.32,symmetry,asymptotic,2.0286548746831223,0.00939605706028602,0.9999785481062785,"[2, 4, 8]"
