num_plaquettes,x,time,repetitions,term_ordering,circuit_hash,circuit_structure_hash,source_gate_count,source_depth,source_1q_count,source_2q_count,pauli_term_count,mean_pauli_weight,interaction_edge_count,interaction_mean_degree,interaction_max_degree,interaction_range,initial_ones,tvd,energy_drift,mirror_asymmetry,exact_mirror_asymmetry,survival_error,survival,local_occupation_error,occupations,electric_energy,magnetic_energy,total_energy,norm_error
4,1.0,0.16,1,reversed,21e40d7c334a9709193e8227da41997a3b425d68b528aab2e53a43b7db71ecbb,0d419151795ca5cdb3ddeff831edff9e9b7e7ff5d58e45fbaa5e402e083a6990,140,99,88,52,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.0013276808045863274,0.00039189155679597576,0.0004163095265450334,3.469446951953614e-18,0.001327680804582454,0.9048428834685627,0.0007096551400387341,"[0.025463287926995416, 0.9751342254074894, 0.9747179158809444, 0.025454996963456517]",4.500665687928127,-0.0010575794849222845,4.499608108443204,8.326672684688674e-15
4,1.0,0.16,1,symmetry,88f315d82b282c1d91e08e26bda0b99db8aae18e82cb1ff7fbc8b801959699e2,fed9e3a08ac09fb94dae730ec9bef276f44660d541de482d2dd9f8b680aeeabe,140,83,88,52,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.0020731143286816522,0.00265454573159829,1.0408340855860843e-17,3.469446951953614e-18,0.002044546277326642,0.9055597489413069,0.0007298093811027861,"[0.025350156210711287, 0.9751543796485534, 0.9751543796485534, 0.025350156210711277]",4.501013602503406,0.0016409432281925193,4.502654545731598,6.8833827526759706e-15
4,1.0,0.16,2,current,68b3dd075a88940641ab180146330d5637bbe4cd4faf56c4b3861bf2b286f971,7f1a858079fb1bad88c9ae64a8cfe2ffeff436dcd457a383321d66078ff0f5ea,278,197,174,104,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.00025700673398984503,0.00015300437303622516,0.0001110724644129979,3.469446951953614e-18,0.00025700673399642326,0.9032581959299838,0.00015013089802584645,"[0.025829265315842967, 0.9742744393694248, 0.9743855118338378, 0.025826861173049127]",4.499857844790163,-1.0849163198958962e-05,4.499846995626964,1.3655743202889425e-14
4,1.0,0.16,2,reversed,837fb6ae97126aac3d07b16340a6a54f2494ab7bcfb6fe037757d6af92b28b82,c94d2050145e4d91b89747af84c8e1e2331b5a798e72dfc893363e82fef32981,278,197,174,104,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.0003371144197363771,6.325149989816481e-05,0.00010445109716405998,3.469446951953614e-18,0.00033711441972905654,0.9038523170837093,0.00018040795106688545,"[0.025696099708067105, 0.9746049782185175, 0.9745005271213535, 0.025693836382163025]",4.50017187744424,-0.00023512894413653222,4.499936748500102,1.509903313490213e-14
4,1.0,0.16,2,symmetry,d10171b33c5ff5110c9f773dbe5c8efd1c57e86e9bd2321dba1bd0c6721a02de,dd86d861e20db48a9660735ef647e374b9d848fa5877477d6d32213cb5eb0d38,278,165,174,104,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.0005305144590309178,0.0007012783415563106,6.938893903907228e-18,3.469446951953614e-18,0.0005242475085945886,0.9040394501725748,0.0001914259283131159,"[0.02566599488258984, 0.9746159961957638, 0.9746159961957638, 0.025665994882589846]",4.5002774279620805,0.0004238503794760139,4.500701278341556,1.5210055437364645e-14
4,1.0,0.16,4,current,6f948c88035c91f2197f1137a83ff24126ea841e421d621b49636ef7dacc158c,0055524de0e6756b1bdae3bcbbabe4d1c90e0687c7144dc6fd7632feb82fd3db,554,393,346,208,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",6.441221069651361e-05,3.978203851850992e-05,2.766903720008429e-05,3.469446951953614e-18,6.441221071018521e-05,0.90345079045327,3.7511307488080625e-05,"[0.025787814904012694, 0.9743870589599626, 0.9744147279971627, 0.025787228457034423]",4.499961331179562,-1.1132180797895387e-06,4.4999602179614815,2.786659791809143e-14
4,1.0,0.16,4,reversed,caff5087d5435797e9af14e48e775f3ad86b3d0d8a6cec929c880d0302d69cf2,adc7a6a3f107fc75d486af6c2660ba08378b7c0714921438054a7c6b558301d6,554,393,346,208,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",8.459297866879754e-05,1.3784922102466624e-05,2.6138954826504524e-05,3.469446951953614e-18,8.459297865570647e-05,0.9035997956426359,4.528371703460543e-05,"[0.025754569719819726, 0.9744698539844853, 0.9744437150296588, 0.025753991999797707]",4.500040789289648,-5.45742117510563e-05,4.4999862150778975,2.6756374893466273e-14
4,1.0,0.16,4,symmetry,36c78990ac6aa39a1ddfd54dfcaade19dc075b999e8934c6d8ec114be34a8e79,896a505cf149d6f83768524197ac0ecd7c7836d8bfbe8137e494807dd5f20899,554,329,346,208,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",0.0001333690914702209,0.0001775936692212099,2.7755575615628914e-17,3.469446951953614e-18,0.00013185695154815935,0.9036470596155284,4.839472918394261e-05,"[0.02574692819188857, 0.9744729649966346, 0.9744729649966346, 0.025746928191888598]",4.500068266076811,0.00010932759240970483,4.500177593669221,2.8199664825478976e-14
4,1.0,0.16,8,current,a61bd2288feb3c569501824e7a05287f099dc2a2386179701d27c53e57f6e0e9,7caa42fd2854176142b5df25240a0661285517cb015567b0a6f45454ce2fe88d,1106,785,690,416,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",1.6112819196110236e-05,1.0039325014865597e-05,6.911064967085601e-06,3.469446951953614e-18,1.611281923308283e-05,0.9034990898447471,9.376406060801479e-06,"[0.025777512118447986, 0.9744151938613899, 0.974422104926357, 0.02577736640147496]",4.499987641382043,2.3192929411905948e-06,4.499989960674985,7.460698725481052e-14
4,1.0,0.16,8,reversed,4affe27700bb8ead41071e8a1299a0032daf01286c8a2ecd63b781d77e2db4b9,15d3c2f6b6879e402e1a1de45eaffa6ffd113e0afa57d8f9953ffab8ebe27836,1106,785,690,416,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",2.1167739076644126e-05,3.3215301060707247e-06,6.536417628155711e-06,3.469446951953614e-18,2.11677390385967e-05,0.9035363704030188,1.133220989757433e-05,"[0.025769203674157887, 0.9744359024773482, 0.9744293660597201, 0.025769058501467323]",4.500007564556644,-1.0886086748748691e-05,4.499996678469894,7.638334409421077e-14
4,1.0,0.16,8,symmetry,c1d916967a79236131de172bc96160677452f2c9aeb5d8834ad0f60421f92543,284dc5232d20bfdf10fec670d0e2b0004d8137bd5832220d83e0438c48a56690,1106,657,690,416,19,1.6842105263157894,3,1.5,2,1,"[1, 2]",3.338817584517598e-05,4.453930709491516e-05,9.367506770274758e-17,3.469446951953614e-18,3.301355068974221e-05,0.90354821621467,1.2131973548767938e-05,"[0.025767286063676592, 0.9744367022409994, 0.9744367022409994, 0.025767286063676686]",4.500014500698253,3.0038608842249213e-05,4.500044539307095,7.72715225139109e-14
