num_plaquettes,x,time,repetitions,term_ordering,circuit_hash,circuit_structure_hash,source_gate_count,source_depth,source_1q_count,source_2q_count,pauli_term_count,mean_pauli_weight,interaction_edge_count,interaction_mean_degree,interaction_max_degree,interaction_range,initial_ones,tvd,energy_drift,mirror_asymmetry,exact_mirror_asymmetry,survival_error,survival,local_occupation_error,occupations,electric_energy,magnetic_energy,total_energy,norm_error,strategy,target_name,native_2q_count,native_2q_depth,native_depth,estimated_duration,routing_2q_overhead,verification_result,verification_error,verification_tolerance,verification_method,compile_seconds
5,2.0,0.32,1,symmetry,7de03206f02d2dfb06ff8fec7ec1c961a0df99468448a5d7bd4645437427ed77,efab82df3ae9f9299d0990e151004f6ecb0a75f5667c774a848c1b6e3f6c585c,187,106,115,72,25,1.72,4,1.6,2,1,[2],0.19522572215647488,0.9834711212538392,3.3306690738754696e-16,1.1102230246251565e-16,0.012602030363361456,0.015187224497913003,0.13704429059783352,"[0.6427419397432202, 0.3386263666656547, 0.4016674786595844, 0.33862636666565454, 0.6427419397432206]",6.36535543093053,-4.348826552184368,2.016528878746161,1.1435297153639112e-14,qiskit,synthetic_line_7q_favorable,52,44,169,1.6473288000000008e-05,-20,True,9.531444097967484e-15,1e-10,logical exact + routed zero/3 random states,0.0067190339977969415
5,2.0,0.32,1,symmetry,7de03206f02d2dfb06ff8fec7ec1c961a0df99468448a5d7bd4645437427ed77,efab82df3ae9f9299d0990e151004f6ecb0a75f5667c774a848c1b6e3f6c585c,187,106,115,72,25,1.72,4,1.6,2,1,[2],0.19522572215647488,0.9834711212538392,3.3306690738754696e-16,1.1102230246251565e-16,0.012602030363361456,0.015187224497913003,0.13704429059783352,"[0.6427419397432202, 0.3386263666656547, 0.4016674786595844, 0.33862636666565454, 0.6427419397432206]",6.36535543093053,-4.348826552184368,2.016528878746161,1.1435297153639112e-14,basic,synthetic_line_7q_favorable,44,38,157,1.5131298000000012e-05,-18,True,8.863203219808405e-15,1e-10,logical exact + routed zero/3 random states,0.05359065700031351
5,2.0,0.32,1,symmetry,7de03206f02d2dfb06ff8fec7ec1c961a0df99468448a5d7bd4645437427ed77,efab82df3ae9f9299d0990e151004f6ecb0a75f5667c774a848c1b6e3f6c585c,187,106,115,72,25,1.72,4,1.6,2,1,[2],0.19522572215647488,0.9834711212538392,3.3306690738754696e-16,1.1102230246251565e-16,0.012602030363361456,0.015187224497913003,0.13704429059783352,"[0.6427419397432202, 0.3386263666656547, 0.4016674786595844, 0.33862636666565454, 0.6427419397432206]",6.36535543093053,-4.348826552184368,2.016528878746161,1.1435297153639112e-14,teleport,synthetic_line_7q_favorable,52,44,157,1.6227978000000008e-05,-20,True,4.295954340084481e-15,1e-10,logical exact + routed zero/3 random states,0.12738694000290707
5,2.0,0.32,2,current,28f1f78f43d6ba2a5e7a1885f2d5d9b1580d130799c28027df576db432f46124,8fce0abdbcb2e9a8f70c342ce15ae5cbd2d944a42e437502fede0d157c893389,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.042568377452356025,0.5752904448386489,0.002161169689746556,1.1102230246251565e-16,0.001000601503215187,0.0015845926313363616,0.011989786449468298,"[0.7436367009705585, 0.3813363131191067, 0.2539498952926916, 0.37917514342936015, 0.7434978711906206]",6.723050038304375,-3.1477595934657274,3.575290444838649,1.7319479184152442e-14,qiskit,synthetic_line_7q_favorable,118,102,383,3.4963223999999976e-05,-26,True,1.4166529811139345e-14,1e-10,logical exact + routed zero/3 random states,0.01062443000409985
5,2.0,0.32,2,current,28f1f78f43d6ba2a5e7a1885f2d5d9b1580d130799c28027df576db432f46124,8fce0abdbcb2e9a8f70c342ce15ae5cbd2d944a42e437502fede0d157c893389,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.042568377452356025,0.5752904448386489,0.002161169689746556,1.1102230246251565e-16,0.001000601503215187,0.0015845926313363616,0.011989786449468298,"[0.7436367009705585, 0.3813363131191067, 0.2539498952926916, 0.37917514342936015, 0.7434978711906206]",6.723050038304375,-3.1477595934657274,3.575290444838649,1.7319479184152442e-14,basic,synthetic_line_7q_favorable,94,78,340,3.154508999999997e-05,-30,True,3.438645868967074e-14,1e-10,logical exact + routed zero/3 random states,0.09789548099797685
5,2.0,0.32,2,current,28f1f78f43d6ba2a5e7a1885f2d5d9b1580d130799c28027df576db432f46124,8fce0abdbcb2e9a8f70c342ce15ae5cbd2d944a42e437502fede0d157c893389,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.042568377452356025,0.5752904448386489,0.002161169689746556,1.1102230246251565e-16,0.001000601503215187,0.0015845926313363616,0.011989786449468298,"[0.7436367009705585, 0.3813363131191067, 0.2539498952926916, 0.37917514342936015, 0.7434978711906206]",6.723050038304375,-3.1477595934657274,3.575290444838649,1.7319479184152442e-14,teleport,synthetic_line_7q_favorable,104,90,317,2.8495253999999975e-05,-40,True,9.940071477204082e-15,1e-10,logical exact + routed zero/3 random states,0.25980161899497034
5,2.0,0.32,2,reversed,4b056bdaa03d6ce20fc02ad0f447a88acb2b010a88bba12fcc30259d58264ddb,f6aea3bf3166425d47f6c0e2ca7ee5cce8ec4676267e9d3a9230860146e5617e,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.0460910871301452,0.3400249390922525,0.010336053460854644,1.1102230246251565e-16,0.0014603576994443746,0.004045551833995923,0.02474266976955114,"[0.7208288877498336, 0.3569722637822184, 0.28936585783130203, 0.3495164637822115, 0.7311649412106882]",6.575315699201896,-3.9153406382941487,2.6599750609077475,1.7763568394002505e-14,qiskit,synthetic_line_7q_favorable,120,104,391,3.687619799999998e-05,-24,True,1.0102085866699167e-14,1e-10,logical exact + routed zero/3 random states,0.007146353003918193
5,2.0,0.32,2,reversed,4b056bdaa03d6ce20fc02ad0f447a88acb2b010a88bba12fcc30259d58264ddb,f6aea3bf3166425d47f6c0e2ca7ee5cce8ec4676267e9d3a9230860146e5617e,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.0460910871301452,0.3400249390922525,0.010336053460854644,1.1102230246251565e-16,0.0014603576994443746,0.004045551833995923,0.02474266976955114,"[0.7208288877498336, 0.3569722637822184, 0.28936585783130203, 0.3495164637822115, 0.7311649412106882]",6.575315699201896,-3.9153406382941487,2.6599750609077475,1.7763568394002505e-14,basic,synthetic_line_7q_favorable,104,88,374,3.482469599999997e-05,-28,True,1.2384617460990314e-14,1e-10,logical exact + routed zero/3 random states,0.09705152099922998
5,2.0,0.32,2,reversed,4b056bdaa03d6ce20fc02ad0f447a88acb2b010a88bba12fcc30259d58264ddb,f6aea3bf3166425d47f6c0e2ca7ee5cce8ec4676267e9d3a9230860146e5617e,373,268,229,144,25,1.72,4,1.6,2,1,[2],0.0460910871301452,0.3400249390922525,0.010336053460854644,1.1102230246251565e-16,0.0014603576994443746,0.004045551833995923,0.02474266976955114,"[0.7208288877498336, 0.3569722637822184, 0.28936585783130203, 0.3495164637822115, 0.7311649412106882]",6.575315699201896,-3.9153406382941487,2.6599750609077475,1.7763568394002505e-14,teleport,synthetic_line_7q_favorable,104,92,326,3.1836131999999965e-05,-40,True,1.3749743500039303e-14,1e-10,logical exact + routed zero/3 random states,0.2541436569954385
5,2.0,0.32,2,symmetry,e7157e43b073a17dfed7bba954b41531dc87a8c9744d5929d7afb6fd6103ff90,c2142e093ccb99940251960feda0c8e111c5304b305b2585b4176727240e142e,373,212,229,144,25,1.72,4,1.6,2,1,[2],0.0415574171009981,0.24186765113232545,1.1102230246251565e-16,1.1102230246251565e-16,0.001319104761768151,0.0039042988963196995,0.022954817721913157,"[0.7150399721669347, 0.3598495899086396, 0.28757800578366405, 0.3598495899086397, 0.7150399721669346]",6.564546001055846,-3.8064136521881724,2.7581323488676746,1.865174681370263e-14,qiskit,synthetic_line_7q_favorable,102,87,336,3.220132199999995e-05,-42,True,7.288703468612748e-14,1e-10,logical exact + routed zero/3 random states,0.007707860997470561
