num_plaquettes,max_bond,truncation_threshold,observable,value,ideal_trotter,exact_hamiltonian
8,64,1e-14,ZZ4,-0.1942869550278901,-0.1942869552124574,-0.17377620762535315
8,64,1e-14,ZZ3,0.544103445865734,0.5441034457768016,0.5693176711799386
8,64,1e-14,magnetic_energy,-6.345532447513901,-6.345532446188226,-5.812053397622827
8,64,1e-14,ZZ1,-0.34413665493676737,-0.3441366551566628,-0.3723291020638914
8,64,1e-14,X6,0.4800705646457274,0.4800705644940187,0.4688849333670512
8,64,1e-14,ZZ0,-0.24918939686029712,-0.24918939695295592,-0.2507223212545451
8,64,1e-14,X5,0.26320869503350397,0.26320869494941684,0.2571304654852374
8,64,1e-14,Z0,-0.18687737786570643,-0.18687737788631908,-0.23062278718013626
8,64,1e-14,X7,0.541795384813465,0.5417953847037736,0.525767340064303
8,64,1e-14,Z1,-0.05366464434392763,-0.053664644429205426,-0.10237397174908663
8,64,1e-14,Z2,0.3817855660436848,0.3817855658570787,0.3694601631723259
8,64,1e-14,Z3,-0.32594100822175665,-0.32594100834285655,-0.28976987805800736
8,64,1e-14,Z4,-0.32594100825791383,-0.3259410083428564,-0.28976987805800747
8,64,1e-14,X0,0.5417953847099929,0.5417953847037738,0.5257673400643029
8,64,1e-14,Z5,0.3817855660330487,0.3817855658570787,0.3694601631723256
8,64,1e-14,Z6,-0.05366464439164623,-0.053664644429205204,-0.10237397174908652
8,64,1e-14,Z7,-0.1868773779368544,-0.1868773778863194,-0.23062278718013632
8,64,1e-14,ZZ5,-0.344136654909153,-0.3441366551566629,-0.3723291020638914
8,64,1e-14,X1,0.48007056454530095,0.48007056449401875,0.46888493336705106
8,64,1e-14,X2,0.26320869510133915,0.2632086949494167,0.25713046548523744
8,64,1e-14,X3,-0.18841949118990425,-0.18841949125187532,-0.20707083851828476
8,64,1e-14,ZZ2,-0.19428695498236478,-0.19428695521245723,-0.17377620762535315
8,64,1e-14,X4,-0.18841949119182735,-0.1884194912518756,-0.20707083851828487
12,8,1e-10,norm,0.999999998792997,,
12,8,1e-10,ZZ10,-0.30113571895704516,,
12,8,1e-10,ZZ9,-0.2671357662711505,,
12,8,1e-10,ZZ8,-0.29409848725042415,,
12,8,1e-10,total_energy,3.1815067744509316,,
12,8,1e-10,ZZ7,-0.3792193959417419,,
12,8,1e-10,ZZ6,-0.1942576747157761,,
